date,discount_coupon_code,usage_count,total_discount_given,total_revenue,avg_order_value,discount_percentage
2025-02-04,NO_COUPON,8,90,4899.73,612.47,1.84
2025-02-05,RING20,16,140,7839.54,489.97,1.79
2025-02-05,HOLIDAY10,6,50,2379.87,396.64,2.1
2025-02-05,NO_COUPON,6,40,4459.74,743.29,0.9
2025-02-06,RING20,14,170,6199.64,442.83,2.74
2025-02-06,NO_COUPON,12,120,5899.67,491.64,2.03
2025-02-06,HOLIDAY10,9,110,2919.82,324.42,3.77
2025-02-07,NO_COUPON,17,240,8229.58,484.09,2.92
2025-02-07,HOLIDAY10,11,110,4399.75,399.98,2.5
2025-02-07,RING20,8,90,3079.78,384.97,2.92
2025-02-08,RING20,15,110,8429.51,561.97,1.3
2025-02-08,HOLIDAY10,6,90,3009.81,501.64,2.99
2025-02-08,NO_COUPON,6,30,1389.89,231.65,2.16
2025-02-09,HOLIDAY10,15,80,7449.56,496.64,1.07
2025-02-09,RING20,14,150,5969.64,426.4,2.51
2025-02-09,NO_COUPON,9,80,4919.69,546.63,1.63
2025-02-10,HOLIDAY10,9,100,5639.69,626.63,1.77
2025-02-10,NO_COUPON,9,100,4269.74,474.42,2.34
2025-02-10,RING20,8,70,2979.79,372.47,2.35
2025-02-11,RING20,12,120,4809.72,400.81,2.49
2025-02-11,NO_COUPON,10,120,3869.78,386.98,3.1
2025-02-11,HOLIDAY10,9,80,3679.72,408.86,2.17
2025-02-12,HOLIDAY10,16,80,7709.56,481.85,1.04
2025-02-12,RING20,14,160,7789.59,556.4,2.05
2025-02-12,NO_COUPON,3,40,2159.85,719.95,1.85
2025-02-13,RING20,12,110,4999.7,416.64,2.2
2025-02-13,HOLIDAY10,5,30,3479.82,695.96,0.86
2025-02-13,NO_COUPON,5,50,2749.79,549.96,1.82
2025-02-14,RING20,9,80,3769.76,418.86,2.12
2025-02-14,NO_COUPON,8,130,4069.71,508.71,3.19
2025-02-14,HOLIDAY10,4,30,1609.91,402.48,1.86
2025-02-15,NO_COUPON,13,70,7759.59,596.89,0.9
2025-02-15,HOLIDAY10,8,90,4769.72,596.22,1.89
2025-02-15,RING20,7,70,3229.8,461.4,2.17
2025-02-16,HOLIDAY10,16,160,8679.47,542.47,1.84
2025-02-16,RING20,10,100,4089.74,408.97,2.45
2025-02-16,NO_COUPON,8,60,5649.67,706.21,1.06
2025-02-17,HOLIDAY10,14,190,5169.63,369.26,3.68
2025-02-17,NO_COUPON,10,90,4939.73,493.97,1.82
2025-02-17,RING20,10,110,4539.72,453.97,2.42
2025-02-18,HOLIDAY10,13,100,7049.55,542.27,1.42
2025-02-18,NO_COUPON,10,110,5519.66,551.97,1.99
2025-02-18,RING20,8,90,4159.74,519.97,2.16
2025-02-19,HOLIDAY10,9,100,4869.71,541.08,2.05
2025-02-19,NO_COUPON,9,140,3669.82,407.76,3.81
2025-02-19,RING20,6,40,2469.83,411.64,1.62
2025-02-20,NO_COUPON,16,90,6319.59,394.97,1.42
2025-02-20,RING20,9,90,4249.73,472.19,2.12
2025-02-20,HOLIDAY10,6,20,3929.79,654.96,0.51
2025-02-21,RING20,11,70,6299.65,572.7,1.11
2025-02-21,NO_COUPON,10,70,4939.66,493.97,1.42
2025-02-21,HOLIDAY10,5,60,1699.87,339.97,3.53
2025-02-22,HOLIDAY10,11,110,5859.69,532.7,1.88
2025-02-22,RING20,11,130,6379.58,579.96,2.04
2025-02-22,NO_COUPON,9,50,4309.74,478.86,1.16
2025-02-23,NO_COUPON,11,50,3999.76,363.61,1.25
2025-02-23,RING20,10,80,3309.76,330.98,2.42
2025-02-23,HOLIDAY10,8,60,4449.71,556.21,1.35
2025-02-24,HOLIDAY10,16,210,7379.56,461.22,2.85
2025-02-24,RING20,16,110,6999.54,437.47,1.57
2025-02-24,NO_COUPON,10,130,3749.74,374.97,3.47
2025-02-25,RING20,15,150,6389.56,425.97,2.35
2025-02-25,HOLIDAY10,11,140,5469.68,497.24,2.56
2025-02-25,NO_COUPON,9,70,3709.74,412.19,1.89
2025-02-26,NO_COUPON,15,160,6989.61,465.97,2.29
2025-02-26,HOLIDAY10,11,70,6469.67,588.15,1.08
2025-02-26,RING20,9,70,5279.68,586.63,1.33
2025-02-27,HOLIDAY10,16,150,7039.52,439.97,2.13
2025-02-27,RING20,9,70,4099.73,455.53,1.71
2025-02-27,NO_COUPON,8,120,3409.77,426.22,3.52
2025-02-28,RING20,12,100,5409.69,450.81,1.85
2025-02-28,HOLIDAY10,11,120,5119.68,465.43,2.34
2025-02-28,NO_COUPON,8,70,4669.73,583.72,1.5
2025-03-01,HOLIDAY10,14,80,7319.52,522.82,1.09
2025-03-01,NO_COUPON,11,120,4339.71,394.52,2.77
2025-03-01,RING20,11,120,4339.71,394.52,2.77
2025-03-02,RING20,15,190,5329.66,355.31,3.56
2025-03-02,NO_COUPON,10,90,5069.74,506.97,1.78
2025-03-02,HOLIDAY10,6,40,4169.75,694.96,0.96
2025-03-03,HOLIDAY10,18,140,5869.62,326.09,2.39
2025-03-03,NO_COUPON,11,150,5929.64,539.06,2.53
2025-03-03,RING20,5,40,1709.88,341.98,2.34
2025-03-04,NO_COUPON,8,100,4099.75,512.47,2.44
2025-03-04,RING20,8,110,5469.68,683.71,2.01
2025-03-04,HOLIDAY10,5,90,2449.84,489.97,3.67
2025-03-05,HOLIDAY10,13,150,7869.51,605.35,1.91
2025-03-05,NO_COUPON,13,80,5779.66,444.59,1.38
2025-03-05,RING20,12,110,5549.68,462.47,1.98
2025-03-06,NO_COUPON,9,130,4519.73,502.19,2.88
2025-03-06,RING20,9,70,3869.78,429.98,1.81
2025-03-06,HOLIDAY10,7,70,2339.79,334.26,2.99
2025-03-07,HOLIDAY10,11,90,5849.66,531.79,1.54
2025-03-07,NO_COUPON,10,60,3769.78,376.98,1.59
2025-03-07,RING20,10,90,6199.69,619.97,1.45
2025-03-08,NO_COUPON,14,120,7079.57,505.68,1.7
2025-03-08,HOLIDAY10,12,100,5689.67,474.14,1.76
2025-03-08,RING20,10,90,4239.72,423.97,2.12
2025-03-09,RING20,16,140,6769.56,423.1,2.07
2025-03-09,HOLIDAY10,11,70,6029.65,548.15,1.16
2025-03-09,NO_COUPON,9,70,3989.75,443.31,1.75
2025-03-10,HOLIDAY10,16,190,9139.47,571.22,2.08
2025-03-10,RING20,12,80,6339.66,528.3,1.26
2025-03-10,NO_COUPON,9,100,4189.71,465.52,2.39
2025-03-11,RING20,12,140,5089.65,424.14,2.75
2025-03-11,HOLIDAY10,11,100,2599.74,236.34,3.85
2025-03-11,NO_COUPON,5,60,2579.85,515.97,2.33
2025-03-12,RING20,11,140,5859.66,532.7,2.39
2025-03-12,NO_COUPON,7,70,3339.78,477.11,2.1
2025-03-12,HOLIDAY10,6,70,1939.88,323.31,3.61
2025-03-13,RING20,13,110,6569.56,505.35,1.67
2025-03-13,NO_COUPON,7,50,3029.8,432.83,1.65
2025-03-13,HOLIDAY10,5,70,3209.79,641.96,2.18
2025-03-14,HOLIDAY10,15,180,6159.61,410.64,2.92
2025-03-14,RING20,9,60,4999.7,555.52,1.2
2025-03-14,NO_COUPON,8,110,3839.76,479.97,2.86
2025-03-15,HOLIDAY10,13,90,7529.59,579.2,1.2
2025-03-15,NO_COUPON,12,100,8219.54,684.96,1.22
2025-03-15,RING20,9,100,5129.68,569.96,1.95
2025-03-16,RING20,12,80,5819.61,484.97,1.37
2025-03-16,NO_COUPON,11,110,5069.69,460.88,2.17
2025-03-16,HOLIDAY10,4,20,2279.85,569.96,0.88
2025-03-17,NO_COUPON,10,90,5539.68,553.97,1.62
2025-03-17,RING20,9,50,5759.7,639.97,0.87
2025-03-17,HOLIDAY10,5,10,3179.82,635.96,0.31
2025-03-18,NO_COUPON,12,160,6379.61,531.63,2.51
2025-03-18,HOLIDAY10,10,140,5099.71,509.97,2.75
2025-03-18,RING20,9,90,4959.72,551.08,1.81
2025-03-19,NO_COUPON,13,160,4839.69,372.28,3.31
2025-03-19,HOLIDAY10,8,60,4829.71,603.71,1.24
2025-03-19,RING20,7,80,3679.8,525.69,2.17
2025-03-20,NO_COUPON,13,180,7069.54,543.81,2.55
2025-03-20,HOLIDAY10,12,170,5219.64,434.97,3.26
2025-03-20,RING20,12,190,7049.55,587.46,2.7
2025-03-21,RING20,18,200,7609.49,422.75,2.63
2025-03-21,NO_COUPON,9,70,5299.67,588.85,1.32
2025-03-21,HOLIDAY10,8,80,3349.78,418.72,2.39
2025-03-22,HOLIDAY10,12,80,4639.76,386.65,1.72
2025-03-22,NO_COUPON,6,30,2079.87,346.64,1.44
2025-03-22,RING20,4,50,2749.81,687.45,1.82
2025-03-23,NO_COUPON,14,180,5789.67,413.55,3.11
2025-03-23,RING20,14,90,6839.53,488.54,1.32
2025-03-23,HOLIDAY10,11,100,4629.7,420.88,2.16
2025-03-24,NO_COUPON,12,170,5879.7,489.98,2.89
2025-03-24,RING20,11,160,5819.71,529.06,2.75
2025-03-24,HOLIDAY10,10,50,5389.65,538.96,0.93
2025-03-25,RING20,15,120,6719.55,447.97,1.79
2025-03-25,NO_COUPON,12,150,5839.62,486.64,2.57
2025-03-25,HOLIDAY10,7,50,3639.72,519.96,1.37
2025-03-26,HOLIDAY10,12,120,6349.61,529.13,1.89
2025-03-26,NO_COUPON,11,60,6329.62,575.42,0.95
2025-03-26,RING20,9,80,4439.75,493.31,1.8
2025-03-27,HOLIDAY10,15,130,7209.5,480.63,1.8
2025-03-27,NO_COUPON,12,140,5219.64,434.97,2.68
2025-03-27,RING20,12,120,6359.59,529.97,1.89
2025-03-28,HOLIDAY10,12,130,5859.61,488.3,2.22
2025-03-28,NO_COUPON,11,140,6109.65,555.42,2.29
2025-03-28,RING20,10,50,3989.78,398.98,1.25
2025-03-29,HOLIDAY10,15,190,8019.51,534.63,2.37
2025-03-29,NO_COUPON,13,130,6789.52,522.27,1.91
2025-03-29,RING20,13,120,6549.59,503.81,1.83
2025-03-30,HOLIDAY10,16,180,8879.48,554.97,2.03
2025-03-30,NO_COUPON,14,230,5719.64,408.55,4.02
2025-03-30,RING20,10,50,4489.73,448.97,1.11
2025-03-31,RING20,14,70,8199.51,585.68,0.85
2025-03-31,NO_COUPON,12,70,6399.59,533.3,1.09
2025-03-31,HOLIDAY10,9,90,4569.71,507.75,1.97
2025-04-01,RING20,15,170,7199.52,479.97,2.36
2025-04-01,NO_COUPON,10,80,5459.72,545.97,1.47
2025-04-01,HOLIDAY10,8,70,3979.72,497.46,1.76
2025-04-02,HOLIDAY10,12,100,7009.57,584.13,1.43
2025-04-02,NO_COUPON,10,110,3469.76,346.98,3.17
2025-04-02,RING20,7,80,4109.76,587.11,1.95
2025-04-03,RING20,14,160,4869.63,347.83,3.29
2025-04-03,HOLIDAY10,9,110,4659.75,517.75,2.36
2025-04-03,NO_COUPON,7,60,4519.73,645.68,1.33
2025-04-04,RING20,16,180,8329.51,520.59,2.16
2025-04-04,NO_COUPON,11,50,7169.6,651.78,0.7
2025-04-04,HOLIDAY10,9,70,4919.77,546.64,1.42
2025-04-05,RING20,15,170,6509.62,433.97,2.61
2025-04-05,NO_COUPON,10,90,5199.68,519.97,1.73
2025-04-05,HOLIDAY10,9,120,4259.71,473.3,2.82
2025-04-06,RING20,15,140,6259.6,417.31,2.24
2025-04-06,HOLIDAY10,10,100,4259.76,425.98,2.35
2025-04-06,NO_COUPON,9,120,6019.65,668.85,1.99
2025-04-07,HOLIDAY10,13,130,5999.6,461.51,2.17
2025-04-07,NO_COUPON,9,120,4229.74,469.97,2.84
2025-04-07,RING20,8,80,3869.75,483.72,2.07
2025-04-08,HOLIDAY10,15,160,7839.49,522.63,2.04
2025-04-08,RING20,8,70,5179.69,647.46,1.35
2025-04-08,NO_COUPON,7,60,3169.79,452.83,1.89
2025-04-09,RING20,12,110,8029.57,669.13,1.37
2025-04-09,HOLIDAY10,9,100,3549.74,394.42,2.82
2025-04-09,NO_COUPON,6,70,2229.87,371.64,3.14
2025-04-10,RING20,15,200,7039.57,469.3,2.84
2025-04-10,HOLIDAY10,13,120,8489.49,653.04,1.41
2025-04-10,NO_COUPON,10,90,5649.7,564.97,1.59
2025-04-11,HOLIDAY10,12,130,5559.69,463.31,2.34
2025-04-11,NO_COUPON,12,120,6279.66,523.3,1.91
2025-04-11,RING20,12,180,5999.63,499.97,3.0
2025-04-12,NO_COUPON,9,130,4159.74,462.19,3.13
2025-04-12,RING20,9,90,4529.76,503.31,1.99
2025-04-12,HOLIDAY10,6,50,2019.88,336.65,2.48
2025-04-13,HOLIDAY10,12,110,5699.63,474.97,1.93
2025-04-13,NO_COUPON,11,70,5729.65,520.88,1.22
2025-04-13,RING20,10,110,6289.65,628.96,1.75
2025-04-14,NO_COUPON,11,120,4379.74,398.16,2.74
2025-04-14,RING20,11,130,4189.74,380.89,3.1
2025-04-14,HOLIDAY10,7,100,3639.8,519.97,2.75
2025-04-15,HOLIDAY10,14,140,7009.62,500.69,2.0
2025-04-15,NO_COUPON,8,40,4409.76,551.22,0.91
2025-04-15,RING20,6,60,3459.81,576.64,1.73
2025-04-16,HOLIDAY10,10,150,5749.69,574.97,2.61
2025-04-16,NO_COUPON,10,120,5499.65,549.96,2.18
2025-04-16,RING20,3,20,2139.86,713.29,0.93
2025-04-17,HOLIDAY10,18,200,7329.53,407.2,2.73
2025-04-17,RING20,10,100,4679.74,467.97,2.14
2025-04-17,NO_COUPON,9,80,4609.74,512.19,1.74
2025-04-18,HOLIDAY10,12,100,6509.64,542.47,1.54
2025-04-18,RING20,10,130,5039.72,503.97,2.58
2025-04-18,NO_COUPON,9,110,3849.74,427.75,2.86
2025-04-19,NO_COUPON,13,130,6729.64,517.66,1.93
2025-04-19,RING20,11,90,7519.58,683.6,1.2
2025-04-19,HOLIDAY10,7,70,2389.8,341.4,2.93
2025-04-20,RING20,15,120,7709.53,513.97,1.56
2025-04-20,NO_COUPON,11,150,6129.64,557.24,2.45
2025-04-20,HOLIDAY10,10,100,4029.76,402.98,2.48
2025-04-21,HOLIDAY10,15,150,8149.52,543.3,1.84
2025-04-21,RING20,11,140,5679.67,516.33,2.46
2025-04-21,NO_COUPON,7,80,3309.81,472.83,2.42
2025-04-22,HOLIDAY10,11,140,3989.75,362.7,3.51
2025-04-22,RING20,6,80,2609.84,434.97,3.07
2025-04-22,NO_COUPON,4,50,1279.92,319.98,3.91
2025-04-23,NO_COUPON,11,90,4969.73,451.79,1.81
2025-04-23,RING20,11,90,5059.66,459.97,1.78
2025-04-23,HOLIDAY10,4,40,1919.89,479.97,2.08
2025-04-24,NO_COUPON,14,110,8149.5,582.11,1.35
2025-04-24,HOLIDAY10,9,70,4509.72,501.08,1.55
2025-04-24,RING20,9,150,3669.77,407.75,4.09
2025-04-25,RING20,13,120,6229.63,479.2,1.93
2025-04-25,NO_COUPON,10,60,4109.73,410.97,1.46
2025-04-25,HOLIDAY10,7,110,3289.79,469.97,3.34
2025-04-26,NO_COUPON,12,180,5289.69,440.81,3.4
2025-04-26,RING20,7,50,3709.77,529.97,1.35
2025-04-27,HOLIDAY10,11,90,6189.63,562.69,1.45
2025-04-27,RING20,9,130,5769.65,641.07,2.25
2025-04-27,NO_COUPON,6,80,3309.78,551.63,2.42
2025-04-28,RING20,8,70,3129.81,391.23,2.24
2025-04-28,HOLIDAY10,7,40,3059.82,437.12,1.31
2025-04-28,NO_COUPON,7,80,2199.82,314.26,3.64
2025-04-29,RING20,14,80,7259.56,518.54,1.1
2025-04-29,HOLIDAY10,11,90,6369.65,579.06,1.41
2025-04-29,NO_COUPON,10,80,5649.67,564.97,1.42
2025-04-30,NO_COUPON,11,110,5319.63,483.6,2.07
2025-04-30,RING20,10,70,4809.75,480.98,1.46
2025-04-30,HOLIDAY10,8,110,2519.81,314.98,4.37
2025-05-01,RING20,15,70,8269.45,551.3,0.85
2025-05-01,HOLIDAY10,13,160,5999.65,461.51,2.67
2025-05-01,NO_COUPON,12,110,6129.61,510.8,1.79
2025-05-02,HOLIDAY10,12,160,4349.66,362.47,3.68
2025-05-02,NO_COUPON,10,100,5489.67,548.97,1.82
2025-05-02,RING20,9,100,4229.74,469.97,2.36
2025-05-03,RING20,9,100,3699.76,411.08,2.7
2025-05-03,NO_COUPON,7,70,2849.8,407.11,2.46
2025-05-03,HOLIDAY10,4,30,2169.88,542.47,1.38
2025-05-04,NO_COUPON,9,120,4969.7,552.19,2.41
2025-05-04,HOLIDAY10,7,80,2059.83,294.26,3.88
2025-05-04,RING20,6,60,2779.83,463.3,2.16
2025-05-05,RING20,15,180,7659.55,510.64,2.35
2025-05-05,NO_COUPON,11,110,4419.74,401.79,2.49
2025-05-05,HOLIDAY10,7,80,3799.78,542.83,2.11
2025-05-06,RING20,12,120,7339.61,611.63,1.63
2025-05-06,NO_COUPON,10,40,5139.66,513.97,0.78
2025-05-06,HOLIDAY10,9,90,5399.71,599.97,1.67
2025-05-07,NO_COUPON,12,80,5719.62,476.64,1.4
2025-05-07,RING20,10,130,5239.7,523.97,2.48
2025-05-07,HOLIDAY10,6,80,3219.8,536.63,2.48
2025-05-08,RING20,13,100,6499.58,499.97,1.54
2025-05-08,HOLIDAY10,6,60,2309.85,384.98,2.6
2025-05-08,NO_COUPON,3,20,1129.92,376.64,1.77
2025-05-09,NO_COUPON,9,80,5069.69,563.3,1.58
2025-05-09,HOLIDAY10,8,80,2979.84,372.48,2.68
2025-05-09,RING20,6,80,3239.81,539.97,2.47
2025-05-10,RING20,14,180,6889.61,492.12,2.61
2025-05-10,HOLIDAY10,12,100,4329.73,360.81,2.31
2025-05-10,NO_COUPON,6,80,2259.84,376.64,3.54
2025-05-11,NO_COUPON,16,190,6349.59,396.85,2.99
2025-05-11,RING20,12,110,5659.68,471.64,1.94
2025-05-11,HOLIDAY10,11,140,5909.65,537.24,2.37
2025-05-12,NO_COUPON,9,80,5489.67,609.96,1.46
2025-05-12,HOLIDAY10,7,80,2919.82,417.12,2.74
2025-05-12,RING20,6,50,2289.86,381.64,2.18
2025-05-13,RING20,11,120,3179.77,289.07,3.77
2025-05-13,HOLIDAY10,7,70,3429.81,489.97,2.04
2025-05-13,NO_COUPON,7,60,3429.81,489.97,1.75
2025-05-14,HOLIDAY10,8,80,5359.68,669.96,1.49
2025-05-14,RING20,8,80,3829.75,478.72,2.09
2025-05-14,NO_COUPON,7,90,2349.85,335.69,3.83
2025-05-15,RING20,14,120,7509.6,536.4,1.6
2025-05-15,NO_COUPON,13,130,7239.57,556.89,1.8
2025-05-15,HOLIDAY10,12,110,4679.66,389.97,2.35
2025-05-16,HOLIDAY10,14,190,6809.59,486.4,2.79
2025-05-16,RING20,12,90,5169.68,430.81,1.74
2025-05-16,NO_COUPON,8,110,4419.74,552.47,2.49
2025-05-17,HOLIDAY10,17,240,9319.47,548.2,2.58
2025-05-17,RING20,17,140,9529.46,560.56,1.47
2025-05-17,NO_COUPON,8,60,4299.76,537.47,1.4
2025-05-18,HOLIDAY10,10,80,3739.76,373.98,2.14
2025-05-18,RING20,9,70,6409.65,712.18,1.09
2025-05-18,NO_COUPON,4,30,2619.85,654.96,1.15
2025-05-19,RING20,14,120,5969.6,426.4,2.01
2025-05-19,HOLIDAY10,7,110,2949.82,421.4,3.73
2025-05-19,NO_COUPON,7,110,3759.78,537.11,2.93
2025-05-20,RING20,10,70,3359.79,335.98,2.08
2025-05-20,HOLIDAY10,8,40,4199.77,524.97,0.95
2025-05-20,NO_COUPON,7,70,4129.8,589.97,1.69
2025-05-21,NO_COUPON,11,130,4269.74,388.16,3.04
2025-05-21,RING20,8,100,4639.76,579.97,2.16
2025-05-21,HOLIDAY10,6,80,3839.78,639.96,2.08
2025-05-22,RING20,10,110,4649.69,464.97,2.37
2025-05-22,NO_COUPON,8,100,4269.74,533.72,2.34
2025-05-22,HOLIDAY10,7,80,4289.73,612.82,1.86
2025-05-23,RING20,14,180,5609.7,400.69,3.21
2025-05-23,HOLIDAY10,11,100,4919.72,447.25,2.03
2025-05-23,NO_COUPON,10,120,4959.72,495.97,2.42
2025-05-24,NO_COUPON,13,80,6509.64,500.74,1.23
2025-05-24,HOLIDAY10,10,90,5709.66,570.97,1.58
2025-05-24,RING20,10,110,4919.69,491.97,2.24
2025-05-25,HOLIDAY10,10,110,3959.71,395.97,2.78
2025-05-25,RING20,9,110,3769.76,418.86,2.92
2025-05-25,NO_COUPON,8,90,4119.74,514.97,2.18
2025-05-26,HOLIDAY10,16,250,7079.54,442.47,3.53
2025-05-26,NO_COUPON,11,130,4949.74,449.98,2.63
2025-05-26,RING20,10,150,4509.72,450.97,3.33
2025-05-27,NO_COUPON,15,140,8979.52,598.63,1.56
2025-05-27,HOLIDAY10,11,50,6959.61,632.69,0.72
2025-05-27,RING20,10,110,4669.7,466.97,2.36
2025-05-28,NO_COUPON,14,130,6569.63,469.26,1.98
2025-05-28,RING20,10,120,4749.73,474.97,2.53
2025-05-28,HOLIDAY10,4,30,2269.87,567.47,1.32
2025-05-29,HOLIDAY10,11,100,5309.65,482.7,1.88
2025-05-29,NO_COUPON,11,90,4699.7,427.25,1.92
2025-05-29,RING20,10,100,4419.74,441.97,2.26
2025-05-30,HOLIDAY10,14,70,9329.5,666.39,0.75
2025-05-30,NO_COUPON,14,170,7079.57,505.68,2.4
