date,path,pageviews,unique_users,sessions_with_page,avg_scroll_depth,total_clicks
2025-01-23,/products/indoor-cam-(2nd-gen),95,95,95,60.14,44
2025-01-23,/products/ring-alarm-8-piece,94,94,94,66.67,34
2025-01-24,/checkout/thankyou,160,110,111,59.74,114
2025-01-24,/checkout/payment,156,116,117,63.23,113
2025-01-24,/category/security-cameras,154,109,109,60.92,117
2025-01-24,/cart,144,108,108,64.48,98
2025-01-24,/products/indoor-cam-(2nd-gen),111,111,111,65.71,47
2025-01-24,/products/ring-alarm-8-piece,106,106,106,63.26,44
2025-01-24,/products/video-doorbell-pro-2,96,96,96,61.54,41
2025-01-24,/products/stick-up-cam-battery,87,87,87,65.82,38
2025-01-25,/category/security-cameras,168,109,109,60.14,115
2025-01-25,/cart,160,107,107,65.3,115
2025-01-25,/checkout/payment,160,110,110,61.64,116
2025-01-25,/checkout/thankyou,151,106,106,62.84,112
2025-01-25,/products/stick-up-cam-battery,110,110,110,64.02,50
2025-01-25,/products/indoor-cam-(2nd-gen),108,108,108,57.92,43
2025-01-25,/products/video-doorbell-pro-2,94,94,94,60.55,37
2025-01-25,/products/ring-alarm-8-piece,88,87,88,59.04,34
2025-01-26,/checkout/thankyou,156,111,112,64.35,114
2025-01-26,/cart,154,117,117,63.89,102
2025-01-26,/checkout/payment,152,106,108,60.8,99
2025-01-26,/category/security-cameras,133,100,101,59.72,102
2025-01-26,/products/video-doorbell-pro-2,117,116,117,68.55,46
2025-01-26,/products/ring-alarm-8-piece,104,103,104,67.41,43
2025-01-26,/products/stick-up-cam-battery,97,97,97,61.76,35
2025-01-26,/products/indoor-cam-(2nd-gen),82,82,82,60.12,37
2025-01-27,/checkout/payment,169,122,123,61.22,122
2025-01-27,/checkout/thankyou,149,108,109,64.84,100
2025-01-27,/category/security-cameras,142,102,103,65.43,91
2025-01-27,/cart,137,101,102,63.95,101
2025-01-27,/products/indoor-cam-(2nd-gen),105,105,105,63.16,42
2025-01-27,/products/stick-up-cam-battery,102,102,102,60.45,38
2025-01-27,/products/video-doorbell-pro-2,98,96,98,67.86,38
2025-01-27,/products/ring-alarm-8-piece,95,95,95,65.68,47
2025-01-28,/checkout/payment,167,121,121,62.76,114
2025-01-28,/cart,147,100,100,63.03,104
2025-01-28,/category/security-cameras,146,111,111,63.36,95
2025-01-28,/checkout/thankyou,143,105,105,62.58,100
2025-01-28,/products/video-doorbell-pro-2,105,105,105,60.58,51
2025-01-28,/products/ring-alarm-8-piece,102,102,102,60.61,39
2025-01-28,/products/stick-up-cam-battery,100,100,100,63.43,43
2025-01-28,/products/indoor-cam-(2nd-gen),93,91,93,61.82,32
2025-01-29,/checkout/payment,162,118,118,64.33,109
2025-01-29,/cart,153,110,110,62.35,106
2025-01-29,/category/security-cameras,148,104,104,60.0,102
2025-01-29,/checkout/thankyou,140,97,97,62.41,103
2025-01-29,/products/ring-alarm-8-piece,106,106,106,60.59,37
2025-01-29,/products/stick-up-cam-battery,100,100,100,63.04,47
2025-01-29,/products/indoor-cam-(2nd-gen),99,98,99,65.87,48
2025-01-29,/products/video-doorbell-pro-2,95,95,95,62.5,41
2025-01-30,/category/security-cameras,145,110,110,63.37,108
2025-01-30,/checkout/thankyou,145,102,102,62.95,91
2025-01-30,/checkout/payment,141,98,98,61.5,99
2025-01-30,/cart,134,89,89,61.7,89
2025-01-30,/products/stick-up-cam-battery,114,114,114,59.03,38
2025-01-30,/products/ring-alarm-8-piece,102,102,102,59.05,40
2025-01-30,/products/video-doorbell-pro-2,98,98,98,62.23,39
2025-01-30,/products/indoor-cam-(2nd-gen),85,84,85,59.03,32
2025-01-31,/cart,162,111,111,60.69,112
2025-01-31,/category/security-cameras,160,113,113,62.94,111
2025-01-31,/checkout/payment,158,115,115,64.35,105
2025-01-31,/checkout/thankyou,130,101,101,64.0,89
2025-01-31,/products/ring-alarm-8-piece,108,108,108,69.76,37
2025-01-31,/products/stick-up-cam-battery,107,107,107,60.45,48
2025-01-31,/products/indoor-cam-(2nd-gen),93,92,93,67.71,35
2025-01-31,/products/video-doorbell-pro-2,93,93,93,59.77,38
2025-02-01,/checkout/payment,166,116,116,60.74,114
2025-02-01,/checkout/thankyou,148,102,102,60.8,110
2025-02-01,/cart,147,105,105,60.99,115
2025-02-01,/category/security-cameras,136,104,104,62.12,94
2025-02-01,/products/ring-alarm-8-piece,105,105,105,61.82,38
2025-02-01,/products/indoor-cam-(2nd-gen),104,104,104,60.61,48
2025-02-01,/products/video-doorbell-pro-2,96,96,96,62.08,38
2025-02-01,/products/stick-up-cam-battery,95,95,95,64.06,36
2025-02-02,/checkout/thankyou,158,110,110,63.72,113
2025-02-02,/category/security-cameras,149,108,108,62.96,106
2025-02-02,/cart,136,99,99,60.15,89
2025-02-02,/checkout/payment,126,94,94,63.99,92
2025-02-02,/products/ring-alarm-8-piece,116,116,116,63.89,47
2025-02-02,/products/stick-up-cam-battery,106,106,106,61.29,38
2025-02-02,/products/indoor-cam-(2nd-gen),90,90,90,57.27,34
2025-02-02,/products/video-doorbell-pro-2,88,88,88,60.0,34
2025-02-03,/category/security-cameras,154,112,112,61.45,114
2025-02-03,/checkout/thankyou,151,100,100,62.91,108
2025-02-03,/checkout/payment,143,105,105,60.42,102
2025-02-03,/cart,135,94,94,61.59,93
2025-02-03,/products/stick-up-cam-battery,114,114,114,60.91,37
2025-02-03,/products/video-doorbell-pro-2,106,106,106,65.74,37
2025-02-03,/products/ring-alarm-8-piece,97,97,97,66.84,44
2025-02-03,/products/indoor-cam-(2nd-gen),83,83,83,64.58,35
2025-02-04,/cart,164,118,118,61.32,117
2025-02-04,/category/security-cameras,146,103,103,62.76,102
2025-02-04,/checkout/thankyou,129,101,101,62.5,88
2025-02-04,/checkout/payment,119,98,98,62.06,73
2025-02-04,/products/video-doorbell-pro-2,104,104,104,67.08,36
2025-02-04,/products/ring-alarm-8-piece,102,102,102,60.77,38
2025-02-04,/products/stick-up-cam-battery,100,100,100,55.98,40
2025-02-04,/products/indoor-cam-(2nd-gen),94,94,94,68.24,42
2025-02-05,/category/security-cameras,150,105,105,63.0,94
2025-02-05,/checkout/payment,147,114,115,62.83,95
2025-02-05,/checkout/thankyou,147,114,114,62.89,97
2025-02-05,/cart,135,95,96,61.03,91
2025-02-05,/products/video-doorbell-pro-2,104,104,104,61.64,47
2025-02-05,/products/ring-alarm-8-piece,102,102,102,64.58,42
2025-02-05,/products/indoor-cam-(2nd-gen),100,100,100,58.33,41
2025-02-05,/products/stick-up-cam-battery,94,94,94,65.18,41
2025-02-06,/checkout/thankyou,154,105,105,64.15,110
2025-02-06,/checkout/payment,152,106,106,62.65,114
2025-02-06,/category/security-cameras,140,107,107,65.22,96
2025-02-06,/cart,123,93,93,61.74,84
2025-02-06,/products/indoor-cam-(2nd-gen),117,117,117,63.6,45
2025-02-06,/products/stick-up-cam-battery,109,109,109,61.44,53
2025-02-06,/products/video-doorbell-pro-2,90,90,90,58.5,33
2025-02-06,/products/ring-alarm-8-piece,84,84,84,61.46,31
2025-02-07,/checkout/payment,165,119,119,63.61,113
2025-02-07,/category/security-cameras,154,112,112,61.76,120
2025-02-07,/cart,142,102,102,62.97,96
2025-02-07,/checkout/thankyou,133,97,97,61.42,92
2025-02-07,/products/ring-alarm-8-piece,116,116,116,66.35,49
2025-02-07,/products/stick-up-cam-battery,98,97,98,62.1,40
2025-02-07,/products/indoor-cam-(2nd-gen),94,94,94,67.34,38
2025-02-07,/products/video-doorbell-pro-2,92,92,92,63.71,38
2025-02-08,/category/security-cameras,163,112,112,65.24,103
2025-02-08,/cart,150,110,110,60.23,101
2025-02-08,/checkout/payment,150,111,111,61.56,102
2025-02-08,/checkout/thankyou,133,103,103,63.19,99
2025-02-08,/products/indoor-cam-(2nd-gen),123,123,123,61.05,52
2025-02-08,/products/ring-alarm-8-piece,97,97,97,65.73,40
2025-02-08,/products/stick-up-cam-battery,97,97,97,60.53,41
2025-02-08,/products/video-doorbell-pro-2,83,83,83,64.62,35
2025-02-09,/category/security-cameras,152,109,109,64.58,99
2025-02-09,/checkout/payment,150,109,109,61.24,104
2025-02-09,/cart,140,102,102,65.48,101
2025-02-09,/checkout/thankyou,132,101,101,61.4,81
2025-02-09,/products/stick-up-cam-battery,116,116,116,62.5,40
2025-02-09,/products/video-doorbell-pro-2,98,98,98,69.57,40
2025-02-09,/products/indoor-cam-(2nd-gen),96,95,96,62.24,41
2025-02-09,/products/ring-alarm-8-piece,90,90,90,59.48,44
2025-02-10,/cart,150,109,109,63.61,111
2025-02-10,/checkout/payment,149,105,105,59.81,103
2025-02-10,/checkout/thankyou,144,105,105,60.2,100
2025-02-10,/category/security-cameras,115,84,84,65.0,77
2025-02-10,/products/indoor-cam-(2nd-gen),102,102,102,59.44,41
2025-02-10,/products/video-doorbell-pro-2,101,101,101,58.65,36
2025-02-10,/products/stick-up-cam-battery,100,100,100,65.09,40
2025-02-10,/products/ring-alarm-8-piece,97,97,97,63.64,40
2025-02-11,/category/security-cameras,165,107,108,62.65,116
2025-02-11,/checkout/payment,152,107,107,64.87,112
2025-02-11,/checkout/thankyou,151,108,108,62.11,97
2025-02-11,/cart,134,98,98,61.79,91
2025-02-11,/products/stick-up-cam-battery,108,108,108,67.71,36
2025-02-11,/products/video-doorbell-pro-2,102,102,102,63.28,45
2025-02-11,/products/ring-alarm-8-piece,96,96,96,62.76,34
2025-02-11,/products/indoor-cam-(2nd-gen),94,94,94,63.54,39
2025-02-12,/checkout/payment,143,109,109,59.58,105
2025-02-12,/checkout/thankyou,133,97,97,62.6,97
2025-02-12,/cart,130,92,92,65.35,92
2025-02-12,/category/security-cameras,128,94,94,62.8,94
2025-02-12,/products/indoor-cam-(2nd-gen),114,114,114,59.02,58
2025-02-12,/products/stick-up-cam-battery,102,102,102,56.73,31
2025-02-12,/products/ring-alarm-8-piece,95,95,95,66.33,37
2025-02-12,/products/video-doorbell-pro-2,89,89,89,68.18,31
2025-02-13,/cart,144,114,114,60.34,100
2025-02-13,/checkout/payment,142,88,88,66.55,92
2025-02-13,/checkout/thankyou,141,99,99,61.26,101
2025-02-13,/category/security-cameras,124,99,100,63.82,87
2025-02-13,/products/ring-alarm-8-piece,112,112,112,62.12,41
2025-02-13,/products/stick-up-cam-battery,106,106,106,60.53,43
2025-02-13,/products/video-doorbell-pro-2,96,96,96,70.51,29
2025-02-13,/products/indoor-cam-(2nd-gen),86,86,86,65.91,41
2025-02-14,/cart,143,91,91,64.85,106
2025-02-14,/category/security-cameras,143,105,105,62.17,105
2025-02-14,/checkout/thankyou,141,99,99,61.74,91
2025-02-14,/checkout/payment,140,94,94,57.99,102
2025-02-14,/products/video-doorbell-pro-2,107,107,107,59.21,37
2025-02-14,/products/stick-up-cam-battery,105,105,105,62.11,38
2025-02-14,/products/indoor-cam-(2nd-gen),96,96,96,62.77,32
2025-02-14,/products/ring-alarm-8-piece,92,92,92,60.78,35
2025-02-15,/category/security-cameras,143,107,107,63.93,107
2025-02-15,/checkout/thankyou,136,108,108,66.86,100
2025-02-15,/checkout/payment,129,92,92,61.73,92
2025-02-15,/products/video-doorbell-pro-2,107,107,107,66.27,44
2025-02-15,/cart,106,83,83,65.05,77
2025-02-15,/products/ring-alarm-8-piece,102,102,102,62.26,34
2025-02-15,/products/stick-up-cam-battery,102,102,102,61.48,40
2025-02-15,/products/indoor-cam-(2nd-gen),89,89,89,60.71,42
2025-02-16,/category/security-cameras,162,115,115,61.56,101
2025-02-16,/checkout/payment,159,112,112,64.45,104
2025-02-16,/checkout/thankyou,151,108,108,60.81,111
2025-02-16,/cart,126,94,94,63.06,84
2025-02-16,/products/stick-up-cam-battery,113,113,113,63.64,41
2025-02-16,/products/indoor-cam-(2nd-gen),101,101,101,61.02,44
2025-02-16,/products/video-doorbell-pro-2,101,101,101,61.54,43
2025-02-16,/products/ring-alarm-8-piece,85,85,85,63.98,26
2025-02-17,/checkout/payment,170,121,121,65.42,122
2025-02-17,/category/security-cameras,163,119,119,63.1,108
2025-02-17,/cart,161,122,122,64.72,120
2025-02-17,/checkout/thankyou,149,106,106,63.61,97
2025-02-17,/products/ring-alarm-8-piece,107,107,107,60.65,42
2025-02-17,/products/video-doorbell-pro-2,107,107,107,68.33,48
2025-02-17,/products/stick-up-cam-battery,98,98,98,65.62,46
2025-02-17,/products/indoor-cam-(2nd-gen),88,88,88,66.15,33
2025-02-18,/category/security-cameras,173,124,125,63.17,122
2025-02-18,/checkout/thankyou,156,116,116,60.88,89
2025-02-18,/checkout/payment,151,93,93,60.55,108
2025-02-18,/cart,139,97,97,58.01,90
2025-02-18,/products/ring-alarm-8-piece,108,108,108,63.59,44
2025-02-18,/products/stick-up-cam-battery,102,102,102,63.75,45
2025-02-18,/products/indoor-cam-(2nd-gen),97,97,97,58.16,33
2025-02-18,/products/video-doorbell-pro-2,93,93,93,62.5,41
2025-02-19,/checkout/thankyou,137,94,96,65.03,91
2025-02-19,/category/security-cameras,135,105,106,62.2,105
2025-02-19,/cart,131,103,103,64.26,92
2025-02-19,/products/indoor-cam-(2nd-gen),122,120,122,58.93,50
2025-02-19,/checkout/payment,109,85,86,64.08,72
2025-02-19,/products/video-doorbell-pro-2,102,102,102,65.23,46
2025-02-19,/products/stick-up-cam-battery,98,98,98,66.46,32
2025-02-19,/products/ring-alarm-8-piece,76,76,76,64.58,35
2025-02-20,/checkout/payment,147,110,110,61.32,104
2025-02-20,/category/security-cameras,139,98,98,66.2,99
2025-02-20,/checkout/thankyou,130,96,96,62.59,91
2025-02-20,/cart,119,89,89,61.73,84
2025-02-20,/products/stick-up-cam-battery,110,110,110,64.06,49
2025-02-20,/products/video-doorbell-pro-2,103,103,103,67.92,48
2025-02-20,/products/ring-alarm-8-piece,98,98,98,69.12,38
2025-02-20,/products/indoor-cam-(2nd-gen),91,91,91,64.83,30
2025-02-21,/category/security-cameras,150,110,110,62.85,101
2025-02-21,/checkout/thankyou,146,106,106,64.62,105
2025-02-21,/checkout/payment,131,90,90,64.96,103
2025-02-21,/cart,129,92,92,62.41,95
2025-02-21,/products/ring-alarm-8-piece,123,123,123,66.23,51
2025-02-21,/products/video-doorbell-pro-2,107,107,107,60.45,43
2025-02-21,/products/indoor-cam-(2nd-gen),91,91,91,60.53,37
2025-02-21,/products/stick-up-cam-battery,79,79,79,64.39,23
2025-02-22,/checkout/thankyou,135,97,97,63.79,95
2025-02-22,/checkout/payment,131,104,104,62.9,88
2025-02-22,/category/security-cameras,124,94,94,61.36,80
2025-02-22,/cart,119,90,91,62.14,81
2025-02-22,/products/stick-up-cam-battery,105,105,105,62.5,32
2025-02-22,/products/ring-alarm-8-piece,100,100,100,61.03,44
2025-02-22,/products/video-doorbell-pro-2,98,98,98,63.68,41
2025-02-22,/products/indoor-cam-(2nd-gen),97,97,97,62.31,38
2025-02-23,/checkout/payment,133,89,89,61.83,99
2025-02-23,/cart,128,102,102,61.84,90
2025-02-23,/category/security-cameras,128,92,92,59.19,86
2025-02-23,/checkout/thankyou,118,95,95,64.87,84
2025-02-23,/products/video-doorbell-pro-2,109,109,109,63.24,44
2025-02-23,/products/ring-alarm-8-piece,108,108,108,60.27,32
2025-02-23,/products/stick-up-cam-battery,95,95,95,63.36,42
2025-02-23,/products/indoor-cam-(2nd-gen),88,88,88,65.54,31
2025-02-24,/checkout/thankyou,169,113,113,60.1,118
2025-02-24,/cart,165,118,118,59.91,122
2025-02-24,/category/security-cameras,161,114,114,61.29,119
2025-02-24,/checkout/payment,143,107,108,62.42,100
2025-02-24,/products/ring-alarm-8-piece,114,114,114,66.02,44
2025-02-24,/products/indoor-cam-(2nd-gen),111,111,111,65.28,43
2025-02-24,/products/video-doorbell-pro-2,89,89,89,60.09,42
2025-02-24,/products/stick-up-cam-battery,86,86,86,54.76,42
2025-02-25,/checkout/payment,170,111,111,65.69,123
2025-02-25,/cart,163,116,116,62.17,113
2025-02-25,/category/security-cameras,152,106,106,62.87,108
2025-02-25,/checkout/thankyou,142,104,104,62.59,95
2025-02-25,/products/video-doorbell-pro-2,109,109,109,63.28,50
2025-02-25,/products/stick-up-cam-battery,102,102,102,62.72,45
2025-02-25,/products/ring-alarm-8-piece,97,96,97,61.57,33
2025-02-25,/products/indoor-cam-(2nd-gen),91,91,91,62.71,45
2025-02-26,/checkout/payment,169,117,117,64.2,115
2025-02-26,/checkout/thankyou,146,98,98,66.9,101
2025-02-26,/category/security-cameras,140,94,94,64.72,97
2025-02-26,/cart,127,94,94,61.82,84
2025-02-26,/products/video-doorbell-pro-2,110,110,110,63.31,44
2025-02-26,/products/ring-alarm-8-piece,105,105,105,61.57,49
